_id,ADDRESS,APPLICATION_FOR,BALLOTS_BLANK,BALLOTS_CAST,BALLOTS_DISTRIBUTED,BALLOTS_IN_FAVOUR,BALLOTS_NEEDED_TO_PROCEED,BALLOTS_NEEDED_TO_PROCEED_LBL,BALLOTS_OPPOSED,BALLOTS_RECEIVED_BY_VOTERS,BALLOTS_RETURNED_TO_SENDER,BALLOTS_SPOILED,CLOSE_DATE,DECLARATIONS_ADDED,FINAL_VOTER_COUNT,MORATORIUM_DATE,OPEN_DATE,PASS_RATE,PASS_RATE_LABEL,POLL_CD,POLL_ID,POLL_RESULT,POTENTIAL_VOTERS,RESPONSE_RATE_MET
789001,8 Brumell Ave,Front Yard Parking,0,18.0,34.0,16,9.0,25% of ballots received by voters,1,34.0,0.0,1,2015-05-31,0.0,34.0,2018-06-01,2015-05-01,10.0,50% + 1 of received ballots,FYP 2015-104,170.0,In Favour,41.0,Yes
789002,90 Belsize Dr,Front Yard Parking,0,30.0,36.0,30,9.0,25% of ballots received by voters,0,36.0,0.0,0,2015-06-03,0.0,36.0,2018-06-04,2015-05-04,16.0,50% + 1 of received ballots,FYP 2015-106,172.0,In Favour,40.0,Yes
789003,376 Roehampton Ave,Front Yard Parking,0,43.0,97.0,37,23.0,25% of ballots received by voters,3,91.0,6.0,3,2015-06-11,0.0,97.0,2018-06-12,2015-05-12,23.0,50% + 1 of received ballots,FYP 2015-108,174.0,In Favour,135.0,Yes
789004,,Traffic Calming,0,137.0,334.0,101,159.0,50% + 1 of ballots received by voters,31,316.0,18.0,5,2015-06-04,0.0,334.0,2017-06-05,2015-05-06,,60% of received ballots,TCP 2015-110,176.0,Response Rate Not Met,379.0,No
789005,889 Queen St E,Boulevard Cafe,0,30.0,106.0,19,26.0,25% of ballots received by voters,10,103.0,3.0,1,2015-06-05,0.0,106.0,2017-06-06,2015-05-06,16.0,50% + 1 of received ballots,BCP 2015-111,177.0,In Favour,120.0,Yes
789006,,Traffic Calming,0,63.0,235.0,42,102.0,50% + 1 of ballots received by voters,20,202.0,33.0,1,2015-06-11,0.0,235.0,2017-06-12,2015-05-13,,60% of received ballots,TCP 2015-112,178.0,Response Rate Not Met,245.0,No
789007,1747 Eglinton Ave W,Commercial Boulevard Parking,0,26.0,235.0,13,51.0,25% of ballots received by voters,11,204.0,31.0,2,2015-06-09,0.0,235.0,2017-06-10,2015-05-11,,50% + 1 of received ballots,CBP 2015-113,179.0,Response Rate Not Met,333.0,No
789008,24 Harlton Cres,Appeal - Front Yard Parking,0,35.0,109.0,29,25.0,25% of ballots received by voters,1,99.0,10.0,5,2015-06-26,0.0,109.0,2018-06-27,2015-05-28,19.0,50% + 1 of received ballots,FYPA 2015-114,180.0,In Favour,144.0,Yes
789009,,Traffic Calming,0,101.0,340.0,44,167.0,50% + 1 of ballots received by voters,27,332.0,8.0,30,2015-10-14,0.0,340.0,2017-10-15,2015-09-14,,60% of received ballots,TCP 2015-116,182.0,Response Rate Not Met,459.0,No
789010,291 Deloraine Ave,Front Yard Parking,0,48.0,80.0,44,20.0,25% of ballots received by voters,3,79.0,1.0,1,2015-06-23,0.0,80.0,2018-06-24,2015-05-25,25.0,50% + 1 of received ballots,FYP 2015-117,183.0,In Favour,100.0,Yes
789011,353 St Germain Ave,Front Yard Parking,0,36.0,73.0,32,18.0,25% of ballots received by voters,0,72.0,1.0,4,2015-06-18,0.0,73.0,2018-06-19,2015-05-20,19.0,50% + 1 of received ballots,FYP 2015-118,184.0,In Favour,93.0,Yes
789012,,Traffic Calming,0,24.0,43.0,19,23.0,50% + 1 of ballots received by voters,5,43.0,0.0,0,2015-06-19,0.0,43.0,2017-06-20,2015-05-21,15.0,60% of received ballots,TCP 2015-119,185.0,In Favour,48.0,Yes
789013,,Traffic Calming,0,55.0,78.0,47,40.0,50% + 1 of ballots received by voters,8,78.0,0.0,0,2015-06-23,0.0,78.0,2017-06-24,2015-05-25,33.0,60% of received ballots,TCP 2015-120,186.0,In Favour,93.0,Yes
789014,2152 Danforth Ave,Boulevard Cafe,0,3.0,16.0,0,4.0,25% of ballots received by voters,3,15.0,1.0,0,2015-06-25,0.0,16.0,2017-06-26,2015-05-27,,50% + 1 of received ballots,BCP 2015-121,187.0,Response Rate Not Met,23.0,No
789015,,Traffic Calming,0,54.0,90.0,43,46.0,50% + 1 of ballots received by voters,10,89.0,1.0,1,2015-06-24,0.0,90.0,2017-06-25,2015-05-26,33.0,60% of received ballots,TCP 2015-122,188.0,In Favour,106.0,Yes
789016,,Traffic Calming,2,82.0,138.0,63,66.0,50% + 1 of ballots received by voters,13,131.0,7.0,4,2015-06-30,0.0,138.0,2017-07-01,2015-06-01,50.0,60% of received ballots,TCP 2015-123,189.0,In Favour,167.0,Yes
789017,,Traffic Calming,0,134.0,271.0,99,132.0,50% + 1 of ballots received by voters,33,261.0,10.0,2,2015-06-26,0.0,271.0,2017-06-27,2015-05-28,81.0,60% of received ballots,TCP 2015-124,190.0,In Favour,326.0,Yes
789018,,Traffic Calming,0,87.0,261.0,63,126.0,50% + 1 of ballots received by voters,23,250.0,11.0,1,2015-06-26,0.0,261.0,2017-06-27,2015-05-28,,60% of received ballots,TCP 2015-125,191.0,Response Rate Not Met,284.0,No
789019,,Traffic Calming,0,68.0,138.0,44,68.0,50% + 1 of ballots received by voters,17,133.0,5.0,7,2015-06-30,0.0,138.0,2017-07-01,2015-06-01,41.0,60% of received ballots,TCP 2015-126,192.0,In Favour,189.0,Yes
789020,866 Bloor St W,Boulevard Cafe,0,1.0,24.0,1,3.0,25% of ballots received by voters,0,9.0,15.0,0,2015-06-30,0.0,24.0,2017-07-01,2015-06-01,,50% + 1 of received ballots,BCP 2015-127,193.0,Response Rate Not Met,26.0,No
